gen,kind,idx,fit,wins,ties,margin,sigma
59,champ,-1,61970,6,1,-30,0.07858512902740782
59,child,0,19675,2,0,-325,0.07858512902740782
59,child,1,29776,3,0,-224,0.07858512902740782
59,child,2,19636,2,0,-364,0.07858512902740782
59,child,3,39768,4,0,-232,0.07858512902740782
59,child,4,29725,3,0,-275,0.07858512902740782
59,child,5,29785,3,0,-215,0.07858512902740782
59,child,6,-329,0,0,-329,0.07858512902740782
59,child,7,9580,1,0,-420,0.07858512902740782
59,child,8,21774,2,1,-226,0.07858512902740782
59,child,9,41782,4,1,-218,0.07858512902740782
59,child,10,21764,2,1,-236,0.07858512902740782
59,child,11,29890,3,0,-110,0.07858512902740782
59,child,12,29719,3,0,-281,0.07858512902740782
59,child,13,31735,3,1,-265,0.07858512902740782
59,child,14,29775,3,0,-225,0.07858512902740782
59,child,15,19764,2,0,-236,0.07858512902740782
59,child,16,29759,3,0,-241,0.07858512902740782
59,child,17,19700,2,0,-300,0.07858512902740782
59,child,18,29781,3,0,-219,0.07858512902740782
59,child,19,19729,2,0,-271,0.07858512902740782
59,child,20,19655,2,0,-345,0.07858512902740782
59,child,21,9631,1,0,-369,0.07858512902740782
59,child,22,39767,4,0,-233,0.07858512902740782
59,child,23,19793,2,0,-207,0.07858512902740782
60,champ,-1,49871,5,0,-129,0.07662050080172261
60,child,0,21699,2,1,-301,0.07662050080172261
60,child,1,19776,2,0,-224,0.07662050080172261
60,child,2,19685,2,0,-315,0.07662050080172261
60,child,3,9668,1,0,-332,0.07662050080172261
60,child,4,19606,2,0,-394,0.07662050080172261
60,child,5,11637,1,1,-363,0.07662050080172261
60,child,6,29800,3,0,-200,0.07662050080172261
60,child,7,29676,3,0,-324,0.07662050080172261
60,child,8,39697,4,0,-303,0.07662050080172261
60,child,9,-441,0,0,-441,0.07662050080172261
60,child,10,11688,1,1,-312,0.07662050080172261
60,child,11,29644,3,0,-356,0.07662050080172261
60,child,12,9781,1,0,-219,0.07662050080172261
60,child,13,9713,1,0,-287,0.07662050080172261
60,child,14,19585,2,0,-415,0.07662050080172261
60,child,15,19839,2,0,-161,0.07662050080172261
60,child,16,19688,2,0,-312,0.07662050080172261
60,child,17,19755,2,0,-245,0.07662050080172261
60,child,18,29842,3,0,-158,0.07662050080172261
60,child,19,19758,2,0,-242,0.07662050080172261
60,child,20,29841,3,0,-159,0.07662050080172261
60,child,21,29802,3,0,-198,0.07662050080172261
60,child,22,9651,1,0,-349,0.07662050080172261
60,child,23,29608,3,0,-392,0.07662050080172261
0,23,72117,7,1,117,0.3
1,7,62048,6,1,48,0.291
2,1,72118,7,1,118,0.28226999999999997
3,1,60102,6,0,102,0.27380189999999993
4,19,70195,7,0,195,0.26558784299999993
5,6,60159,6,0,159,0.25762020770999994
6,12,70227,7,0,227,0.24989160147869993
7,1,60214,6,0,214,0.24239485343433892
8,14,70226,7,0,226,0.23512300783130874
9,13,70147,7,0,147,0.22806931759636948
10,16,70144,7,0,144,0.22122723806847838
11,19,70145,7,0,145,0.21459042092642402
12,17,70245,7,0,245,0.2081527082986313
13,15,70179,7,0,179,0.20190812704967237
14,8,70186,7,0,186,0.1958508832381822
15,19,70216,7,0,216,0.18997535674103672
16,6,72229,7,1,229,0.1842760960388056
17,16,80232,8,0,232,0.17874781315764143
18,12,70227,7,0,227,0.17338537876291218
19,23,70257,7,0,257,0.1681838174000248
20,21,72173,7,1,173,0.16313830287802406
21,6,80177,8,0,177,0.15824415379168333
22,15,80261,8,0,261,0.15349682917793284
23,13,72241,7,1,241,0.14889192430259485
24,15,90168,9,0,168,0.144425166573517
