generation,kind,index,fitness,wins,ties,margin,sigma
15,child,3,-933,0,0,-933,0.18997535674103672
15,child,4,-860,0,0,-860,0.18997535674103672
15,child,5,-727,0,0,-727,0.18997535674103672
15,child,6,9262,1,0,-738,0.18997535674103672
15,child,7,-1058,0,0,-1058,0.18997535674103672
15,child,8,9295,1,0,-705,0.18997535674103672
15,child,9,-1053,0,0,-1053,0.18997535674103672
15,child,10,-670,0,0,-670,0.18997535674103672
15,child,11,-1530,0,0,-1530,0.18997535674103672
15,child,12,19018,2,0,-982,0.18997535674103672
15,child,13,-965,0,0,-965,0.18997535674103672
15,child,14,-1272,0,0,-1272,0.18997535674103672
15,child,15,9114,1,0,-886,0.18997535674103672
15,child,16,8960,1,0,-1040,0.18997535674103672
15,child,17,9227,1,0,-773,0.18997535674103672
15,child,18,-900,0,0,-900,0.18997535674103672
15,child,19,-724,0,0,-724,0.18997535674103672
15,child,20,-1151,0,0,-1151,0.18997535674103672
15,child,21,-793,0,0,-793,0.18997535674103672
15,child,22,9214,1,0,-786,0.18997535674103672
15,child,23,9355,1,0,-645,0.18997535674103672
16,champion,-1,9356,1,0,-644,0.1842760960388056
0,champion,0,-412,0,0,-412,0.3
1,champion,-1,-513,0,0,-513,0.291
0,champion,0,60271,6,0,271,0.3
1,champion,-1,60251,6,0,251,0.291
1,child,0,60209,6,0,209,0.291
1,child,1,60143,6,0,143,0.291
1,child,2,52161,5,1,161,0.291
1,child,3,60365,6,0,365,0.291
1,child,4,50129,5,0,129,0.291
1,child,5,60267,6,0,267,0.291
1,child,6,60312,6,0,312,0.291
1,child,7,40126,4,0,126,0.291
1,child,8,52147,5,1,147,0.291
1,child,9,60261,6,0,261,0.291
1,child,10,60005,6,0,5,0.291
1,child,11,60250,6,0,250,0.291
1,child,12,60187,6,0,187,0.291
1,child,13,50126,5,0,126,0.291
1,child,14,50049,5,0,49,0.291
1,child,15,60110,6,0,110,0.291
1,child,16,60083,6,0,83,0.291
1,child,17,60259,6,0,259,0.291
1,child,18,60109,6,0,109,0.291
1,child,19,50106,5,0,106,0.291
1,child,20,60244,6,0,244,0.291
1,child,21,60225,6,0,225,0.291
1,child,22,60259,6,0,259,0.291
1,child,23,50091,5,0,91,0.291
2,champion,-1,60352,6,0,352,0.28226999999999997
2,child,0,60229,6,0,229,0.28226999999999997
2,child,1,60247,6,0,247,0.28226999999999997
2,child,2,50056,5,0,56,0.28226999999999997
2,child,3,60172,6,0,172,0.28226999999999997
2,child,4,60163,6,0,163,0.28226999999999997
2,child,5,60158,6,0,158,0.28226999999999997
